Application mode,Course,Daytime/evening attendance,Admission grade,Tuition fees up to date,Scholarship holder,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,9238,1,135.9,1,0,0,6,5,0,7,6,13.0,Graduate
1,9773,1,110.1,1,0,0,6,6,0,6,6,12.0,Graduate
2,9853,1,122.5,0,0,11,11,11,8,8,8,12.0,Dropout
17,9254,1,138.1,1,0,0,6,4,0,11,1,14.0,Dropout
43,171,1,117.3,1,0,0,0,0,0,0,0,0.0,Dropout
1,9500,1,106.8,1,1,0,7,6,0,9,7,13.61428571,Graduate
1,9070,1,120.1,1,1,0,6,6,0,6,6,12.66666667,Graduate
1,9254,1,116.5,1,1,0,6,5,0,8,5,11.0,Graduate
51,9070,1,120.0,1,0,0,6,5,0,7,4,12.6,Enrolled
1,9853,1,139.7,1,1,0,7,7,0,7,7,14.85714286,Graduate
1,9070,1,123.7,1,1,1,6,6,0,8,6,12.625,Graduate
17,9130,1,116.5,1,0,0,6,0,0,0,0,0.0,Dropout
17,9670,1,122.2,1,1,0,6,6,0,9,6,13.66666667,Graduate
1,9773,1,146.0,1,0,0,6,5,0,6,6,13.16666667,Graduate
17,9853,1,108.8,1,0,0,7,5,0,9,6,13.33333333,Enrolled
43,171,1,133.0,1,0,0,0,0,0,0,0,0.0,Enrolled
17,9130,1,123.8,1,0,0,5,4,0,6,5,12.0,Graduate
17,9773,1,120.0,1,0,0,6,0,0,0,0,0.0,Dropout
17,9238,1,126.9,1,0,0,6,5,0,6,6,11.66666667,Graduate
18,9773,1,121.3,1,0,0,6,5,0,8,6,11.57142857,Dropout
17,9500,1,129.0,1,1,0,7,7,0,10,8,12.55,Graduate
1,9853,1,114.9,0,0,0,6,3,0,7,3,10.66666667,Dropout
17,9670,1,106.5,0,0,0,6,0,0,9,0,0.0,Dropout
1,9254,1,133.9,1,0,0,6,5,0,8,4,11.25,Graduate
1,9773,1,124.9,1,1,0,6,6,0,6,6,12.83333333,Graduate
1,9500,1,128.5,1,1,0,8,8,0,8,8,14.07125,Graduate
1,9085,1,126.2,1,0,0,5,4,0,9,5,13.2,Dropout
17,9130,1,121.7,0,0,0,6,0,0,2,0,0.0,Dropout
1,9853,1,120.0,1,0,0,6,3,0,8,4,10.25,Enrolled
43,9147,1,113.2,1,0,3,10,6,4,16,7,10.57142857,Enrolled
1,9238,1,120.3,1,0,0,6,2,0,8,5,11.6,Graduate
1,171,1,127.8,1,0,0,0,0,0,0,0,0.0,Dropout
1,9500,1,123.3,1,1,0,8,7,0,8,7,14.90142857,Dropout
1,9500,1,126.3,1,1,0,7,7,0,9,8,12.44555556,Graduate
51,9991,0,128.2,0,0,7,12,7,5,5,5,10.6,Dropout
17,9085,1,134.9,1,0,0,5,4,0,9,5,12.66666667,Graduate
44,9003,1,140.0,1,0,0,6,6,0,7,6,12.66666667,Graduate
1,9500,1,115.5,1,1,0,7,7,0,10,7,13.32857143,Graduate
1,9500,1,106.7,1,1,0,7,5,0,8,6,12.5,Enrolled
39,9991,0,140.0,1,0,0,5,3,0,11,3,11.33333333,Enrolled
1,9500,1,136.6,1,1,0,7,6,0,10,7,14.05142857,Graduate
18,9500,1,119.3,1,0,0,8,8,0,8,8,13.11625,Graduate
1,9070,1,152.0,0,0,0,5,0,0,0,0,0.0,Dropout
1,9500,1,144.3,1,0,0,7,6,0,8,7,13.57142857,Graduate
39,9556,1,159.0,1,0,0,7,7,0,21,5,11.7,Enrolled
17,9500,1,129.5,1,1,0,7,6,0,7,6,12.33333333,Graduate
39,9238,1,140.0,1,0,0,6,4,0,10,5,16.4,Enrolled
1,9670,1,105.4,1,0,0,5,5,0,6,5,13.2,Graduate
42,9500,1,136.0,1,0,4,7,7,5,8,8,13.49375,Graduate
44,9003,1,160.0,1,1,0,6,6,0,11,5,13.0,Graduate
1,9773,1,139.1,1,1,0,6,6,0,6,6,13.5,Graduate
1,9670,1,126.9,1,1,0,5,5,0,5,4,13.0,Graduate
39,9500,1,184.0,1,0,0,7,7,1,9,8,16.58222222,Graduate
1,9238,1,125.0,0,1,0,6,5,0,8,5,11.0,Graduate
1,9147,1,138.5,1,1,0,5,5,0,6,5,13.6,Graduate
17,9500,1,133.5,1,1,0,8,7,0,8,7,12.11428571,Graduate
1,9500,1,141.5,1,1,0,8,8,0,8,8,13.05875,Graduate
42,9500,1,130.0,1,0,4,8,7,4,8,7,13.28571429,Graduate
1,9147,1,131.0,1,0,0,5,4,0,8,3,10.66666667,Enrolled
1,9500,1,145.0,1,1,0,7,7,0,8,8,15.1625,Graduate
17,9254,1,114.3,0,0,0,6,0,0,0,0,0.0,Dropout
44,171,1,108.3,0,0,4,9,4,3,12,3,11.0,Dropout
1,9070,1,125.2,1,1,0,6,6,0,8,6,13.625,Graduate
1,9254,1,131.7,1,1,0,6,6,0,11,3,11.66666667,Dropout
17,9500,1,126.3,1,0,0,8,7,0,8,7,13.29714286,Graduate
1,9085,1,147.6,1,0,0,6,6,0,9,6,14.25,Graduate
1,9500,1,125.1,1,0,0,7,7,0,13,7,12.83333333,Graduate
17,9147,1,123.8,1,1,0,5,5,0,8,3,11.0,Enrolled
1,9670,1,130.8,1,0,0,5,4,0,5,4,13.75,Dropout
1,9853,1,154.1,1,1,0,6,6,0,7,6,12.57142857,Graduate
16,9147,1,122.6,1,1,0,5,3,0,9,4,12.625,Enrolled
1,8014,0,103.5,1,0,0,6,5,0,9,5,12.2,Graduate
1,171,1,132.8,1,0,0,0,0,0,0,0,0.0,Enrolled
51,9991,0,100.0,1,0,1,5,4,1,5,5,11.4,Graduate
18,9853,1,115.8,1,0,0,7,6,0,11,6,12.16666667,Enrolled
1,9500,1,133.8,1,0,0,8,7,0,8,7,13.48571429,Graduate
1,9070,1,118.5,1,1,0,6,6,0,8,6,11.28571429,Graduate
17,171,1,150.3,1,0,0,0,0,0,0,0,0.0,Dropout
17,9147,1,107.8,1,0,0,5,3,0,11,3,14.42857143,Enrolled
1,9500,1,127.5,1,0,0,7,5,0,7,5,13.76,Enrolled
1,9500,1,120.5,1,0,0,8,7,0,11,7,13.25857143,Graduate
1,9147,1,117.3,1,0,0,5,4,0,10,4,12.0,Enrolled
17,9254,1,120.6,0,0,0,6,3,0,15,1,10.0,Dropout
16,9254,1,118.7,1,1,0,6,6,0,6,6,12.5,Graduate
1,9773,1,130.8,1,1,0,6,5,0,9,5,11.83333333,Graduate
1,9147,1,112.6,1,1,0,5,5,0,7,5,13.28571429,Graduate
39,9991,0,117.2,1,0,0,5,5,0,6,5,11.8,Graduate
7,9500,1,130.0,1,0,0,7,4,0,8,7,12.6375,Enrolled
17,9500,1,131.8,1,0,0,8,7,0,8,7,14.65285714,Graduate
39,8014,0,97.0,1,1,0,6,6,0,6,6,11.33333333,Graduate
39,9500,1,130.0,0,0,0,7,4,0,7,0,0.0,Dropout
39,8014,0,148.0,1,0,7,11,11,4,8,8,14.75,Graduate
39,9147,1,103.4,1,0,4,7,7,3,12,7,11.14285714,Dropout
43,9773,1,127.1,1,0,0,6,6,0,11,5,13.0,Graduate
17,9773,1,124.0,1,1,0,6,6,0,7,6,13.85714286,Dropout
1,9670,1,121.4,1,0,0,5,4,0,6,4,11.75,Graduate
1,9147,1,118.1,1,0,0,5,5,0,5,5,13.2,Graduate
17,9500,1,121.3,1,1,0,8,7,0,8,7,15.07,Graduate
42,9119,1,119.5,1,0,0,5,1,0,7,1,12.0,Dropout
39,9991,0,115.2,1,0,0,5,4,0,6,5,12.66666667,Enrolled
18,9670,1,130.2,1,0,0,6,4,0,11,4,12.6,Graduate
17,9254,1,130.0,1,0,0,6,4,0,7,3,11.25,Dropout
16,9238,1,126.9,1,0,0,6,6,0,11,5,12.16666667,Graduate
1,9070,1,168.5,1,0,0,6,5,0,6,5,14.2,Graduate
39,9500,1,130.0,1,0,0,7,3,0,14,2,10.0,Dropout
18,9556,1,122.8,1,1,0,7,7,0,11,8,12.5125,Graduate
39,9500,1,110.0,1,0,0,7,4,0,14,3,12.33333333,Dropout
16,9085,1,127.1,1,0,0,5,4,0,10,4,10.5,Graduate
1,9500,1,108.5,1,0,0,7,7,0,12,6,11.9,Graduate
53,9085,1,138.2,0,0,7,10,8,4,17,5,13.2,Dropout
1,9500,1,96.0,1,0,0,7,6,0,11,6,11.93333333,Enrolled
1,9238,1,124.5,1,1,0,6,5,0,8,6,12.28571429,Graduate
7,9500,1,120.0,1,0,7,11,11,6,12,10,12.96818182,Enrolled
17,9147,1,132.3,1,0,0,5,1,0,10,1,11.0,Dropout
17,9254,1,120.7,1,0,0,6,6,0,10,4,11.5,Graduate
1,9670,1,132.6,1,1,0,6,6,0,7,6,13.14285714,Graduate
7,9130,1,140.0,1,0,0,5,0,0,9,0,0.0,Dropout
1,9500,1,124.5,1,0,0,8,7,0,9,7,12.04142857,Graduate
1,171,1,142.0,1,1,0,0,0,0,0,0,0.0,Graduate
7,9254,1,130.0,1,0,12,13,13,9,16,12,14.58333333,Graduate
39,9003,1,144.0,1,0,13,18,18,11,13,13,15.30769231,Graduate
17,9853,1,128.5,1,0,0,7,6,0,8,7,12.71428571,Enrolled
7,9070,1,140.0,0,0,0,3,2,0,0,0,0.0,Dropout
42,9853,1,113.9,1,0,0,6,4,0,13,3,10.33333333,Dropout
1,9238,1,137.2,0,0,0,6,6,0,6,6,15.16666667,Graduate
7,9085,1,140.0,1,0,0,6,6,0,8,6,16.375,Graduate
1,9130,1,152.3,1,0,0,6,6,0,7,6,14.71428571,Graduate
39,8014,0,112.5,1,0,0,6,5,0,7,6,12.16666667,Graduate
39,9147,1,101.0,0,0,0,5,3,0,14,2,14.8,Dropout
1,9238,1,112.3,1,1,0,6,5,0,8,4,11.75,Graduate
39,9238,1,114.0,0,0,0,6,1,0,12,0,0.0,Dropout
7,9147,1,130.0,1,0,0,5,3,0,11,4,13.625,Graduate
43,9500,1,121.5,1,0,11,14,12,11,14,12,12.33333333,Graduate
39,9003,1,120.0,1,0,0,6,6,0,12,6,12.9,Enrolled
7,8014,0,130.0,0,0,0,6,1,0,0,0,0.0,Dropout
39,9003,1,125.7,0,0,0,6,4,0,13,4,10.5,Dropout
43,9556,1,128.0,0,0,0,7,0,0,8,0,0.0,Dropout
17,9238,1,113.2,1,1,0,6,4,0,13,5,11.5,Enrolled
39,9500,1,120.0,1,1,0,8,8,0,9,8,13.63,Graduate
1,9670,1,117.8,1,0,0,5,3,0,7,4,11.5,Graduate
1,9500,1,121.3,1,1,0,7,6,0,7,7,12.22857143,Enrolled
1,9500,1,169.7,1,1,0,7,7,0,9,8,16.37777778,Graduate
17,9238,1,117.7,1,0,0,6,5,0,11,4,12.0,Graduate
44,8014,0,121.8,1,0,3,6,6,2,7,6,13.28571429,Graduate
1,9500,1,128.3,1,0,0,8,7,0,8,7,12.76428571,Graduate
18,9147,1,132.2,1,1,0,5,5,0,6,5,12.16666667,Graduate
1,171,1,134.3,1,0,0,0,0,0,0,0,0.0,Dropout
1,9500,1,123.4,1,1,0,7,7,0,9,8,15.68333333,Graduate
39,9991,0,121.7,0,0,0,5,0,0,7,0,0.0,Dropout
39,8014,0,130.0,1,1,0,6,5,0,7,6,12.5,Graduate
1,9500,1,126.5,1,1,0,8,8,0,8,8,13.57625,Graduate
17,9238,1,159.7,1,1,0,6,6,0,6,6,15.83333333,Graduate
1,9147,1,151.3,1,0,0,5,3,0,8,5,11.6,Graduate
17,9238,1,138.0,1,0,0,6,5,0,6,6,12.0,Graduate
1,9500,1,126.5,1,0,0,8,8,0,8,8,13.76375,Graduate
53,9085,1,140.0,1,0,7,9,8,4,14,5,12.2,Enrolled
1,9238,1,112.3,1,1,0,6,5,0,10,5,12.2,Graduate
1,9238,1,127.3,1,0,0,6,6,0,7,6,11.66666667,Graduate
7,9500,1,130.0,1,0,1,7,6,1,8,6,14.35714286,Graduate
17,9773,1,115.0,1,0,0,6,6,0,6,6,12.66666667,Graduate
17,9500,1,131.5,1,0,0,8,7,0,8,7,13.92571429,Graduate
39,9991,0,125.7,1,0,0,5,2,0,9,3,11.0,Dropout
1,9500,1,126.8,1,0,0,7,7,0,9,8,13.74444444,Graduate
18,9119,1,132.4,1,0,0,5,1,0,5,0,0.0,Dropout
44,9003,1,150.0,1,0,0,6,6,0,10,6,13.2,Graduate
1,9670,1,95.0,1,0,0,6,0,0,6,0,0.0,Dropout
43,9991,0,128.2,0,0,5,9,5,4,4,4,11.0,Dropout
39,9130,1,130.0,0,0,0,4,2,0,9,3,11.66666667,Dropout
39,9119,1,100.0,1,0,0,5,1,0,11,1,10.0,Enrolled
42,9085,1,159.9,1,0,2,6,5,2,10,5,13.0,Graduate
43,9991,0,100.0,0,0,2,6,4,0,6,1,10.0,Dropout
39,9853,1,116.5,1,0,0,7,1,0,7,1,13.0,Dropout
1,9238,1,120.0,1,1,0,6,6,0,9,6,12.83333333,Graduate
1,9238,1,117.0,1,0,0,6,0,0,0,0,0.0,Dropout
53,9670,1,140.0,1,0,0,6,1,0,11,1,11.0,Enrolled
1,9853,1,118.1,0,0,0,6,3,0,10,5,11.8,Dropout
1,9254,1,153.5,1,0,0,6,6,0,6,6,16.0,Graduate
43,9773,1,127.9,1,0,0,6,6,0,7,6,12.85714286,Graduate
17,9670,1,118.8,1,1,0,6,5,0,11,5,12.33333333,Graduate
1,9238,1,126.7,1,0,0,6,4,0,7,6,11.33333333,Graduate
43,9085,1,170.0,1,0,0,5,0,0,7,4,14.75,Enrolled
39,9130,1,110.0,1,1,0,6,0,0,16,1,10.0,Dropout
17,9238,1,115.0,1,0,0,6,6,0,7,6,12.85714286,Graduate
1,9556,1,119.0,1,0,0,7,7,0,8,8,13.8,Graduate
1,9500,1,121.8,1,1,0,8,7,0,8,7,13.6,Graduate
1,9085,1,133.4,1,0,0,6,6,0,8,6,15.875,Graduate
1,9238,1,131.4,1,0,0,6,5,0,7,6,11.5,Graduate
42,9119,1,135.0,1,0,0,5,0,2,7,2,14.0,Dropout
1,9773,1,122.8,1,0,0,6,0,0,0,0,0.0,Dropout
39,9853,1,140.0,1,1,0,6,6,0,10,6,16.2,Graduate
18,9500,1,125.3,1,1,0,8,7,0,8,7,11.78571429,Graduate
1,9500,1,126.3,1,1,0,8,8,0,8,8,13.42375,Graduate
1,9670,1,100.0,1,0,0,6,6,0,10,5,14.16666667,Graduate
17,9500,1,121.3,1,1,0,8,7,0,8,7,12.46428571,Graduate
53,9991,0,135.0,1,0,6,11,8,3,15,5,12.6,Enrolled
39,9670,1,120.0,1,0,0,6,1,0,9,0,0.0,Dropout
17,9773,1,113.7,1,0,0,6,5,0,10,6,12.42857143,Enrolled
43,9147,1,129.7,1,0,0,5,5,0,6,4,12.4,Graduate
1,9147,1,132.1,1,0,0,5,2,0,6,4,12.0,Dropout
51,9853,1,120.3,1,0,0,7,0,0,0,0,0.0,Dropout
7,9991,0,120.0,1,0,0,5,5,0,8,5,12.33333333,Graduate
17,9254,1,123.1,1,0,0,6,6,0,6,6,13.5,Graduate
17,9670,1,119.4,1,0,0,6,4,0,7,5,12.66666667,Graduate
39,9147,1,140.0,0,0,0,5,4,0,8,5,11.8,Dropout
39,8014,0,116.5,1,1,0,6,4,0,10,4,11.5,Enrolled
17,9238,1,113.0,1,1,0,6,6,0,8,6,12.625,Graduate
1,9773,1,133.9,1,1,0,6,6,0,7,6,13.0,Graduate
1,9500,1,115.5,1,1,0,8,7,0,8,7,13.02428571,Graduate
17,9254,1,116.5,0,0,0,6,0,0,0,0,0.0,Dropout
1,9119,1,171.2,1,1,0,5,5,0,8,5,18.57142857,Graduate
1,9670,1,119.1,1,1,0,5,4,0,7,4,11.5,Graduate
17,9853,1,121.1,1,0,0,7,6,0,9,6,12.5,Dropout
1,9070,1,132.9,1,1,0,6,6,0,6,5,13.8,Enrolled
1,9238,1,132.8,1,0,0,6,6,0,8,6,11.83333333,Graduate
1,9773,1,126.7,1,0,0,6,5,0,11,4,11.5,Graduate
1,9500,1,105.8,1,0,0,7,6,0,9,7,13.77142857,Graduate
17,9119,1,117.2,1,1,0,5,4,0,10,6,13.625,Enrolled
1,9500,1,140.0,1,0,0,8,7,0,8,7,14.28571429,Graduate
44,9003,1,120.0,1,0,2,6,3,0,12,2,10.0,Dropout
17,9119,1,119.5,1,0,0,5,5,0,5,5,17.6,Graduate
39,9003,1,153.9,0,0,0,6,0,0,0,0,0.0,Dropout
39,8014,0,130.0,1,0,0,6,1,0,5,0,0.0,Dropout
39,9670,1,107.0,1,0,0,5,0,0,5,0,0.0,Dropout
39,9500,1,132.8,1,0,0,7,4,0,9,5,12.38,Dropout
1,9991,0,127.5,1,0,0,5,5,0,7,5,11.8,Graduate
18,9254,1,123.3,1,0,0,6,4,0,11,3,12.0,Enrolled
17,9147,1,122.0,1,0,0,5,3,0,5,0,0.0,Dropout
1,9254,1,114.8,0,0,0,6,0,0,0,0,0.0,Dropout
44,171,1,140.0,1,0,0,0,0,0,0,0,0.0,Graduate
51,9670,1,111.0,1,0,5,11,10,2,9,8,13.33333333,Graduate
1,9773,1,133.2,1,1,0,6,6,0,6,6,15.0,Graduate
1,9773,1,123.0,1,0,0,6,6,0,7,6,12.83333333,Graduate
53,9003,1,150.0,1,1,7,12,12,5,12,10,13.3,Graduate
17,9147,1,132.3,1,1,0,5,5,0,6,5,12.2,Graduate
18,9500,1,126.0,1,0,0,8,7,0,8,7,13.31428571,Graduate
1,9500,1,119.3,1,0,0,8,7,0,8,7,11.98857143,Graduate
53,9147,1,133.8,1,0,6,11,11,3,13,8,12.88888889,Graduate
1,9085,1,126.5,1,1,0,6,6,0,8,6,13.875,Graduate
1,9773,1,138.4,1,1,0,6,6,0,6,6,12.83333333,Graduate
1,9500,1,129.0,1,0,0,7,7,0,9,8,13.41111111,Dropout
1,9670,1,118.3,1,0,0,6,6,0,10,3,12.0,Enrolled
17,9500,1,129.8,1,0,0,7,6,0,10,7,14.65,Graduate
17,9085,1,113.6,1,0,0,5,3,0,8,4,11.75,Enrolled
1,9773,1,128.3,0,1,0,6,3,0,15,3,10.66666667,Dropout
43,9254,1,130.0,1,1,0,6,4,0,14,3,11.0,Dropout
17,9853,1,121.9,1,0,0,6,5,0,7,5,11.2,Graduate
1,9238,1,129.4,1,0,0,6,6,0,6,6,12.33333333,Graduate
1,9853,1,115.3,1,0,0,7,6,0,8,6,14.0,Enrolled
1,9500,1,125.5,1,1,0,8,8,0,8,8,13.76375,Graduate
17,9556,1,117.8,1,1,0,7,6,0,8,6,12.8,Graduate
17,9147,1,118.7,1,0,0,5,4,0,11,2,12.0,Enrolled
1,9500,1,139.0,1,0,0,7,6,0,7,6,14.33333333,Graduate
1,9085,1,98.9,1,0,0,6,4,0,13,2,12.66666667,Enrolled
17,9254,1,137.7,0,0,0,6,1,0,13,0,0.0,Dropout
1,9500,1,113.6,1,0,0,7,7,0,9,8,14.62222222,Graduate
1,9085,1,113.4,1,0,0,6,4,0,17,3,13.75,Enrolled
17,9556,1,128.5,1,1,0,7,7,0,8,8,13.9125,Graduate
1,9500,1,142.8,1,0,0,7,7,0,9,8,13.99444444,Graduate
1,9130,1,137.7,0,0,0,5,0,1,10,1,12.0,Dropout
1,9238,1,103.5,1,0,0,6,3,0,9,4,12.0,Enrolled
1,9500,1,123.2,1,0,0,7,7,0,9,8,13.33333333,Graduate
17,9853,1,126.0,1,0,0,6,5,0,8,5,10.4,Enrolled
39,9500,1,121.7,1,1,0,7,6,0,9,6,11.68571429,Enrolled
17,9147,1,142.8,0,1,0,5,5,0,5,4,12.0,Enrolled
43,9130,1,120.0,1,0,0,6,5,0,13,5,11.0,Dropout
18,9500,1,119.3,1,1,0,8,7,0,8,7,11.4,Graduate
44,9238,1,121.0,1,1,3,6,6,2,8,6,11.33333333,Graduate
1,9773,1,139.4,1,0,0,6,5,0,10,4,12.2,Graduate
17,9085,1,113.9,1,1,0,5,5,0,8,4,15.0,Graduate
1,9853,1,124.6,1,1,0,6,5,0,9,5,13.5,Graduate
17,9070,1,123.8,0,1,0,6,6,0,8,6,11.0,Dropout
1,9085,1,126.3,1,0,0,6,6,0,9,6,13.33333333,Graduate
17,9773,1,120.4,1,1,0,6,6,0,6,6,13.5,Graduate
1,9500,1,120.5,1,1,0,7,5,0,7,7,12.5,Enrolled
53,9085,1,144.9,0,0,7,11,11,4,15,8,13.33333333,Enrolled
39,9085,1,139.9,1,1,1,6,6,0,11,6,12.83333333,Graduate
1,171,1,133.3,1,0,0,0,0,0,0,0,0.0,Graduate
1,9500,1,126.0,1,0,0,8,7,0,8,7,15.65714286,Graduate
1,9070,1,133.5,1,0,0,6,6,0,6,6,11.33333333,Graduate
17,9853,1,127.9,1,0,0,6,0,0,0,0,0.0,Dropout
1,9238,1,105.9,1,1,0,6,5,0,9,5,11.16666667,Enrolled
1,9085,1,124.3,1,0,0,6,6,0,11,5,12.66666667,Enrolled
39,9773,1,102.5,1,0,0,6,4,0,12,0,0.0,Dropout
39,9254,1,97.0,0,0,0,5,0,0,5,0,0.0,Dropout
17,171,1,134.7,0,0,0,0,0,0,0,0,0.0,Dropout
42,9119,1,113.8,0,0,0,5,0,0,0,0,0.0,Dropout
1,9119,1,116.9,1,0,0,5,1,0,5,0,0.0,Dropout
1,9500,1,124.0,1,1,0,8,7,0,8,7,13.33142857,Graduate
39,9070,1,117.5,1,0,0,6,0,0,0,0,0.0,Dropout
44,171,1,154.8,1,0,0,0,0,0,0,0,0.0,Graduate
1,9500,1,141.0,1,0,0,7,6,0,7,6,13.7,Graduate
39,9670,1,120.0,0,0,0,5,0,0,5,0,0.0,Dropout
51,9119,1,133.6,1,0,4,9,9,2,9,6,13.875,Dropout
1,9500,1,122.0,1,0,0,8,7,0,8,7,12.2,Graduate
1,9147,1,120.0,1,0,0,5,3,0,10,4,11.0,Dropout
53,9670,1,114.2,1,1,0,6,5,0,7,6,12.85714286,Graduate
39,8014,0,95.5,1,0,0,6,6,0,6,6,14.0,Graduate
1,9500,1,120.0,1,0,0,8,7,0,8,7,15.02857143,Graduate
1,9238,1,111.1,1,0,0,6,6,0,7,6,11.71428571,Graduate
1,9773,1,128.6,1,0,0,6,5,0,8,5,12.4,Graduate
7,9556,1,130.0,0,0,3,7,3,3,8,3,11.33333333,Dropout
1,171,1,111.1,1,0,0,0,0,0,0,0,0.0,Dropout
17,9147,1,122.7,1,0,0,5,5,0,7,4,12.5,Enrolled
1,171,1,134.4,1,1,0,0,0,0,0,0,0.0,Graduate
1,9070,1,131.0,0,0,0,6,1,0,7,0,0.0,Dropout
51,9238,1,125.0,1,0,0,6,0,0,7,0,0.0,Dropout
18,9556,1,106.0,1,0,0,7,7,0,11,5,12.58333333,Graduate
39,9500,1,128.0,0,0,0,7,0,0,0,0,0.0,Dropout
7,9003,1,120.0,1,0,14,18,18,10,16,13,11.07692308,Graduate
1,9500,1,134.8,1,0,0,7,6,0,7,6,13.35,Graduate
39,9070,1,112.0,1,1,0,6,6,0,6,2,16.0,Graduate
1,9130,1,116.1,1,0,0,5,2,0,5,0,0.0,Dropout
43,9130,1,120.0,0,0,0,6,0,0,6,0,0.0,Dropout
1,9147,1,119.7,1,0,0,5,5,0,6,5,11.83333333,Graduate
17,9119,1,117.1,1,0,0,5,0,0,5,0,0.0,Dropout
1,9085,1,112.4,1,0,0,5,4,0,15,3,10.6,Enrolled
1,9500,1,131.0,1,1,0,8,8,0,8,8,13.88125,Graduate
1,9254,1,130.9,1,0,0,6,6,0,8,5,12.6,Graduate
1,171,1,134.9,1,0,0,0,0,0,0,0,0.0,Dropout
17,9238,1,127.1,1,0,0,6,6,0,7,6,13.66666667,Graduate
17,9773,1,110.2,1,0,0,6,5,0,6,6,12.5,Graduate
17,9254,1,108.7,1,1,0,6,5,0,6,6,11.33333333,Graduate
1,9130,1,138.0,1,0,0,6,6,0,10,6,13.0,Enrolled
44,9070,1,147.7,1,1,2,7,7,5,9,9,13.77777778,Graduate
39,9556,1,123.0,1,0,0,7,6,0,8,7,12.22857143,Graduate
17,9853,1,142.8,1,1,0,7,7,0,7,7,14.14285714,Graduate
1,171,1,138.3,1,0,0,0,0,0,0,0,0.0,Enrolled
1,9254,1,125.2,1,1,0,6,6,0,9,5,12.4,Graduate
1,9085,1,141.8,1,0,0,5,5,0,5,5,13.8,Graduate
17,9500,1,130.6,1,1,0,7,7,0,9,8,15.06875,Graduate
44,9147,1,130.0,0,0,0,5,0,0,5,0,0.0,Dropout
15,9119,1,100.0,1,0,0,5,0,0,8,0,0.0,Dropout
18,9500,1,119.0,1,1,0,8,7,0,8,7,12.34285714,Graduate
1,9773,1,124.3,1,0,0,6,5,0,7,5,10.8,Enrolled
17,9254,1,122.2,1,0,0,6,4,0,14,1,11.0,Dropout
15,9147,1,150.0,1,0,0,5,5,0,8,5,11.6,Graduate
39,8014,0,135.5,1,0,0,6,0,0,6,0,0.0,Dropout
16,9238,1,127.3,1,1,0,6,4,0,6,6,12.0,Graduate
43,9670,1,127.0,1,0,3,9,6,4,10,10,11.7,Graduate
1,9773,1,126.9,1,1,0,6,4,0,11,3,11.66666667,Enrolled
18,9500,1,127.5,1,0,0,7,7,0,8,8,14.5125,Graduate
1,9085,1,122.0,1,0,0,5,5,0,8,4,12.33333333,Graduate
17,9085,1,115.8,0,0,0,6,0,0,0,0,0.0,Dropout
17,9670,1,121.6,1,0,0,6,6,0,8,5,13.6,Graduate
17,9147,1,116.4,1,1,0,5,5,0,5,5,11.8,Graduate
39,9130,1,120.0,1,0,0,6,6,0,10,5,12.83333333,Dropout
17,9853,1,127.3,1,0,0,6,5,0,7,5,11.4,Dropout
1,9147,1,123.5,1,1,0,5,5,0,11,3,12.66666667,Enrolled
17,9238,1,125.6,1,1,0,6,6,0,6,6,11.83333333,Graduate
1,9254,1,118.5,1,0,0,6,6,0,6,6,11.5,Graduate
1,9130,1,129.5,1,0,0,5,4,0,5,5,13.4,Enrolled
1,171,1,134.6,1,1,0,0,0,0,0,0,0.0,Graduate
44,9085,1,140.0,1,0,2,6,6,1,9,4,11.5,Graduate
1,9254,1,133.2,1,0,0,6,5,0,16,2,13.5,Enrolled
17,9238,1,133.5,1,1,0,6,3,0,13,4,12.25,Enrolled
17,9773,1,117.9,1,1,0,6,5,0,7,6,12.83333333,Graduate
1,9500,1,128.0,1,1,0,8,7,0,11,7,12.90857143,Graduate
1,9853,1,113.2,1,0,0,6,4,0,11,1,10.0,Dropout
1,9254,1,122.0,1,1,0,6,6,0,8,5,11.0,Enrolled
16,9070,1,156.9,1,0,0,6,6,0,9,6,15.83333333,Graduate
1,9500,1,125.1,1,1,0,7,6,0,11,6,12.875,Enrolled
15,9147,1,100.0,0,0,6,7,6,2,6,2,14.0,Dropout
15,9119,1,160.0,1,0,0,6,2,0,11,2,11.0,Enrolled
39,8014,0,101.0,1,0,0,6,6,0,6,6,12.16666667,Graduate
18,9670,1,121.5,1,1,0,6,6,0,6,6,14.33333333,Graduate
1,9085,1,126.8,1,0,0,5,4,0,10,5,12.57142857,Graduate
1,9670,1,132.9,1,0,0,5,4,0,5,4,14.25,Graduate
1,171,1,134.3,1,0,16,17,17,14,22,17,12.05555556,Graduate
17,9254,1,120.5,1,0,0,6,6,0,6,6,14.66666667,Graduate
17,9003,1,144.1,0,0,0,6,0,0,10,0,0.0,Dropout
43,9991,0,100.0,1,0,0,5,5,0,6,5,13.83333333,Graduate
1,9254,1,114.8,0,0,0,5,0,0,5,0,0.0,Dropout
1,171,1,111.9,0,0,0,0,0,0,0,0,0.0,Dropout
17,9119,1,125.4,1,1,0,5,4,0,9,3,12.33333333,Dropout
44,9003,1,140.0,1,0,0,6,3,0,12,3,13.66666667,Dropout
